Date,Open,High,Low,Close,Adj Close,Volume
10/1/2014,0.0004,0.000406,0.000223,0.000236,0.000236,18290367
11/1/2014,0.000236,0.000265,0.000204,0.000242,0.000242,31010359
12/1/2014,0.000241,0.000244,0.000167,0.000187,0.000187,13326038
1/1/2015,0.000186,0.000187,0.000113,0.000139,0.000139,11717328
2/1/2015,0.000138,0.000156,0.000136,0.000145,0.000145,2703050
3/1/2015,0.000145,0.000177,0.000122,0.000126,0.000126,2394411
4/1/2015,0.000126,0.000131,0.000098,0.000103,0.000103,1487454
5/1/2015,0.000103,0.000202,0.000085,0.000154,0.000154,7439633
6/1/2015,0.000154,0.000232,0.000136,0.000199,0.000199,11208811
7/1/2015,0.000199,0.000247,0.000165,0.000184,0.000184,8322243
8/1/2015,0.000184,0.000187,0.000119,0.000129,0.000129,2717588
9/1/2015,0.000128,0.000135,0.00012,0.000123,0.000123,1872345
10/1/2015,0.000123,0.000166,0.000113,0.000137,0.000137,1953868
11/1/2015,0.000137,0.000167,0.000119,0.000128,0.000128,3923363
12/1/2015,0.000129,0.00016,0.000124,0.000151,0.000151,5779767
1/1/2016,0.00015,0.0005,0.000134,0.000277,0.000277,23332749
2/1/2016,0.000278,0.000328,0.000244,0.00025,0.00025,8323711
3/1/2016,0.00025,0.00026,0.000207,0.000233,0.000233,7206036
4/1/2016,0.000233,0.000242,0.000197,0.000226,0.000226,4306233
5/1/2016,0.000226,0.000246,0.000219,0.000231,0.000231,4124011
6/1/2016,0.000231,0.000344,0.000226,0.000304,0.000304,11653667
7/1/2016,0.000304,0.000309,0.00023,0.00023,0.00023,7652128
8/1/2016,0.00023,0.000277,0.000203,0.000235,0.000235,9001497
9/1/2016,0.000235,0.000271,0.000222,0.000235,0.000235,5920930
10/1/2016,0.000232,0.000237,0.000213,0.00022,0.00022,3790147
11/1/2016,0.00022,0.000258,0.000213,0.000214,0.000214,3778015
12/1/2016,0.000215,0.000252,0.000208,0.000223,0.000223,4783787
1/1/2017,0.000223,0.000257,0.000195,0.000206,0.000206,5426331
2/1/2017,0.000211,0.000217,0.000196,0.000205,0.000205,3125121
3/1/2017,0.000206,0.00036,0.000195,0.000328,0.000328,17239305
4/1/2017,0.000333,0.000771,0.000317,0.000746,0.000746,69685513
5/1/2017,0.000746,0.004044,0.000573,0.002657,0.002657,838356686
6/1/2017,0.002665,0.004036,0.002245,0.002602,0.002602,653790490
7/1/2017,0.002601,0.002893,0.00128,0.001718,0.001718,201261930
8/1/2017,0.001719,0.002151,0.001575,0.002064,0.002064,159067820
9/1/2017,0.002064,0.002701,0.000626,0.001145,0.001145,267624090
10/1/2017,0.001142,0.001254,0.000938,0.001124,0.001124,109439840
11/1/2017,0.001143,0.002581,0.001002,0.002079,0.002079,159037060
12/1/2017,0.002051,0.010729,0.001971,0.008972,0.008972,1600280746
1/1/2018,0.009031,0.018773,0.005499,0.00601,0.00601,2279939096
2/1/2018,0.006021,0.008288,0.003036,0.006018,0.006018,604638980
3/1/2018,0.006042,0.00632,0.002648,0.002819,0.002819,289734010
4/1/2018,0.002818,0.005958,0.002595,0.00521,0.00521,586307740
5/1/2018,0.005272,0.005649,0.003168,0.003398,0.003398,612771300
